image,distortion,level,param,snr_db,stage,edge_iou,corner_ratio,orb_match_ratio,line_iou,line_count_ratio,det_precision,det_recall,det_f1,det_per_class
00f7eac8-5193d600.jpg,motion_blur,2,15.0,27.42801983992787,restored,0.4602588051797308,1.0,0.37,0.3670650523611165,0.2681318681318681,0.5714285714285714,0.25,0.3478260869565217,"{'truck': {'tp': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 4, 'fp': 3, 'fn': 5, 'precision': 0.5714285714285714, 'recall': 0.4444444444444444, 'f1': 0.5}}"
00f7eac8-5193d600.jpg,motion_blur,3,21.0,25.87656251158599,restored,0.354537592610754,1.0,0.244,0.3001349879221333,0.1868131868131868,0.6666666666666666,0.25,0.3636363636363636,"{'truck': {'tp': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 4, 'fp': 2, 'fn': 5, 'precision': 0.6666666666666666, 'recall': 0.4444444444444444, 'f1': 0.5333333333333333}}"
00f7eac8-5193d600.jpg,motion_blur,4,31.0,24.05980054259227,restored,0.2550243111831442,1.0,0.132,0.2385866129519905,0.1527472527472527,0.6666666666666666,0.125,0.2105263157894736,"{'truck': {'tp': 0, 'fp': 0, 'fn': 2, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 5, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 2, 'fp': 1, 'fn': 7, 'precision': 0.6666666666666666, 'recall': 0.2222222222222222, 'f1': 0.3333333333333333}}"
00f89335-1825f637.jpg,motion_blur,0,5.0,34.24525933734322,restored,0.8196532423208192,1.0,0.696,0.6648895042980377,0.7772087067861716,0.75,0.375,0.5,"{'truck': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 9, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 6, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.8571428571428571, 'f1': 0.923076923076923}}"
00f89335-1825f637.jpg,motion_blur,1,9.0,30.699723535329223,restored,0.6861882558177099,1.0,0.562,0.561758872867,0.5928297055057619,0.6666666666666666,0.375,0.4800000000000001,"{'truck': {'tp': 0, 'fp': 2, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 9, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 6, 'fp': 0, 'fn': 1, 'precision': 1.0, 'recall': 0.8571428571428571, 'f1': 0.923076923076923}}"
00f89335-1825f637.jpg,motion_blur,2,15.0,27.75894681275304,restored,0.449755095162246,1.0,0.358,0.3753148347482117,0.262483994878361,0.8333333333333334,0.3125,0.4545454545454545,"{'traffic light': {'tp': 0, 'fp': 0, 'fn': 9, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'person': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 5, 'fp': 0, 'fn': 2, 'precision': 1.0, 'recall': 0.7142857142857143, 'f1': 0.8333333333333333}}"
00f89335-1825f637.jpg,motion_blur,3,21.0,26.43225938653232,restored,0.2761511484424047,1.0,0.266,0.1755000318830106,0.115236875800256,0.5714285714285714,0.25,0.3478260869565217,"{'traffic light': {'tp': 0, 'fp': 0, 'fn': 9, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 4, 'fp': 2, 'fn': 3, 'precision': 0.6666666666666666, 'recall': 0.5714285714285714, 'f1': 0.6153846153846153}, 'bus': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}"
00f89335-1825f637.jpg,motion_blur,4,31.0,25.118540188909147,restored,0.1532023668120836,1.0,0.168,0.1003443829669163,0.0614596670934699,0.6666666666666666,0.125,0.2105263157894736,"{'traffic light': {'tp': 0, 'fp': 0, 'fn': 9, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'train': {'tp': 0, 'fp': 1, 'fn': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 2, 'fp': 0, 'fn': 5, 'precision': 1.0, 'recall': 0.2857142857142857, 'f1': 0.4444444444444445}}"
00f89335-2ef7949d.jpg,motion_blur,0,5.0,34.762859369728275,restored,0.8166021327027496,1.0,0.728,0.6677420509333347,0.8851674641148325,0.9166666666666666,0.3235294117647059,0.4782608695652174,"{'truck': {'tp': 1, 'fp': 0, 'fn': 0, 'precision': 1.0, 'recall': 1.0, 'f1': 1.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 3, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 10, 'fp': 1, 'fn': 20, 'precision': 0.9090909090909091, 'recall': 0.3333333333333333, 'f1': 0.4878048780487804}}"
00f89335-2ef7949d.jpg,motion_blur,1,9.0,31.27681146121922,restored,0.6401876270504723,1.0,0.576,0.5271561618347473,0.5645933014354066,0.8333333333333334,0.2941176470588235,0.4347826086956522,"{'truck': {'tp': 0, 'fp': 0, 'fn': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'traffic light': {'tp': 0, 'fp': 0, 'fn': 3, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'car': {'tp': 10, 'fp': 2, 'fn': 20, 'precision': 0.8333333333333334, 'recall': 0.3333333333333333, 'f1': 0.47619047619047616}}"
