image,level,kernel,method,psnr,stripe_score,edge_iou,line_iou,det_f1
0000f77c-62c2a288.jpg,0,5,distorted,38.88312513353799,0.3802597186504143,0.78934781416269,0.6561224678226506,
0000f77c-62c2a288.jpg,0,5,wiener_fixed,40.12368402624803,1.2501739718067029,0.8462667477407586,0.6708586484542248,
0000f77c-62c2a288.jpg,0,5,wiener_tuned,40.12368402624803,1.2501739718067029,0.8462667477407586,0.6708586484542248,
0000f77c-62c2a288.jpg,0,5,richardson_lucy,35.8017943662242,3.138264535769418,0.775768553560948,0.6349693251533742,
0000f77c-62c2a288.jpg,1,9,distorted,34.1557649294959,0.2906354229565804,0.5823259018440572,0.4952977768806598,
0000f77c-62c2a288.jpg,1,9,wiener_fixed,34.15381932847846,1.922988522248981,0.7111832929260781,0.5788529770269326,
0000f77c-62c2a288.jpg,1,9,wiener_tuned,35.01424145518678,1.4326191148313652,0.7084574947282969,0.5525090231691698,
0000f77c-62c2a288.jpg,1,9,richardson_lucy,32.39769786897416,2.4569653945577303,0.6194367056831495,0.5128273339429712,
0000f77c-62c2a288.jpg,2,15,distorted,31.35521521478972,0.2158441547668998,0.4175716122618777,0.3333394864600447,
0000f77c-62c2a288.jpg,2,15,wiener_fixed,28.2673115674762,2.6505768148417177,0.5660452009334098,0.3954713603818616,
0000f77c-62c2a288.jpg,2,15,wiener_tuned,31.27666537756312,1.1840893361615783,0.4902483989908791,0.3111454516245018,
0000f77c-62c2a288.jpg,2,15,richardson_lucy,29.82753449442148,1.9346208717701008,0.4628236511632535,0.3737232978671082,
0000f77c-62c2a288.jpg,3,21,distorted,29.89738009201544,0.1671577373741996,0.3504709405790182,0.2683644928602973,
0000f77c-62c2a288.jpg,3,21,wiener_fixed,24.46801272787921,3.17735821213116,0.5171375315792717,0.3914087580256822,
0000f77c-62c2a288.jpg,3,21,wiener_tuned,29.07522038547013,1.2394822854462737,0.3304966517857143,0.2870054556949181,
0000f77c-62c2a288.jpg,3,21,richardson_lucy,28.371691681850493,1.641500440753863,0.3667464653285044,0.2949981929280449,
0000f77c-62c2a288.jpg,4,31,distorted,28.54534878329219,0.1302140341290646,0.2670581469931214,0.2622423209124643,
0000f77c-62c2a288.jpg,4,31,wiener_fixed,18.77832560089488,4.306309799553352,0.4265770290806996,0.3120394607435203,
0000f77c-62c2a288.jpg,4,31,wiener_tuned,26.55867287959149,1.227461834709805,0.1936007842835723,0.1533981031334509,
0000f77c-62c2a288.jpg,4,31,richardson_lucy,26.80434025002695,1.358563165165045,0.3030056176803529,0.2704872328185157,
0000f77c-cb820c98.jpg,0,5,distorted,36.06121943294515,0.8596549414496081,0.7952401714218871,0.6386906042717211,0.6666666666666666
0000f77c-cb820c98.jpg,0,5,wiener_fixed,39.38783639076098,0.9866073369450712,0.8866204962610469,0.6726231720214434,0.5714285714285714
0000f77c-cb820c98.jpg,0,5,wiener_tuned,39.38783639076098,0.9866073369450712,0.8866204962610469,0.6726231720214434,0.5714285714285714
0000f77c-cb820c98.jpg,0,5,richardson_lucy,36.78777768971359,1.6434843641167265,0.8123713046987366,0.6064291688168407,0.6666666666666666
0000f77c-cb820c98.jpg,1,9,distorted,31.4005322394854,0.7268119654563489,0.5974412072253091,0.4761690436674262,0.6666666666666666
0000f77c-cb820c98.jpg,1,9,wiener_fixed,35.814553592145884,0.9515995122657304,0.8169556840077071,0.6508623019949181,0.5714285714285714
0000f77c-cb820c98.jpg,1,9,wiener_tuned,34.846872915402635,0.9190543220597324,0.7629831043214745,0.622361305553268,0.5714285714285714
0000f77c-cb820c98.jpg,1,9,richardson_lucy,32.448747480296795,1.3484344852880146,0.6267368994641722,0.4929989973438407,0.6666666666666666
0000f77c-cb820c98.jpg,2,15,distorted,28.29145093519374,0.5681871252003465,0.4370099426077116,0.3885604941078397,0.6666666666666666
0000f77c-cb820c98.jpg,2,15,wiener_fixed,32.45294681679375,0.9453126272283118,0.7286219578367732,0.5949435850854461,0.4705882352941176
0000f77c-cb820c98.jpg,2,15,wiener_tuned,30.794721938411747,0.8209826293473289,0.483338301043219,0.3836059456433858,0.5333333333333333
0000f77c-cb820c98.jpg,2,15,richardson_lucy,28.897301782059607,1.075785371441693,0.4937333386384435,0.4003546728143288,0.4
0000f77c-cb820c98.jpg,3,21,distorted,26.35322061287857,0.4576908348802473,0.3323274851416513,0.3254854300330686,0.4
0000f77c-cb820c98.jpg,3,21,wiener_fixed,29.963994333903305,0.9794714973372356,0.6614869851891945,0.5494191795427382,0.5
0000f77c-cb820c98.jpg,3,21,wiener_tuned,28.976075421264675,0.7647522539317572,0.3702256104639913,0.2991593567251462,0.3999999999999999
0000f77c-cb820c98.jpg,3,21,richardson_lucy,26.94750352832191,0.8975995724523332,0.3758105498526273,0.2932370998734592,0.2222222222222222
0000f77c-cb820c98.jpg,4,31,distorted,24.44954817224726,0.3538171306920449,0.2209495132396773,0.2402550914674353,0.4
0000f77c-cb820c98.jpg,4,31,wiener_fixed,25.610783637898955,1.0713459786549238,0.5861012911885363,0.4851272198655116,0.0
0000f77c-cb820c98.jpg,4,31,wiener_tuned,27.082940302566527,0.6826955547102006,0.2754820135516329,0.2198628874395414,0.4
0000f77c-cb820c98.jpg,4,31,richardson_lucy,25.16724282911825,0.7224129973840079,0.2736819031116585,0.2526637238859926,0.2222222222222222
000d4f89-3bcbe37a.jpg,0,5,distorted,31.713284261880062,0.7608606509766142,0.7267344671764288,0.6420276130189901,0.4444444444444445
000d4f89-3bcbe37a.jpg,0,5,wiener_fixed,33.93512061743768,2.0536590086676934,0.8165509139995466,0.6830511709059186,0.4444444444444445
000d4f89-3bcbe37a.jpg,0,5,wiener_tuned,33.93512061743768,2.0536590086676934,0.8165509139995466,0.6830511709059186,0.4444444444444445
000d4f89-3bcbe37a.jpg,0,5,richardson_lucy,32.218238164409335,2.418293905067803,0.7426847943051071,0.6593720707928464,0.4444444444444445
000d4f89-3bcbe37a.jpg,1,9,distorted,28.78580804586982,0.6338059496014263,0.471031746031746,0.3349318673606644,0.4444444444444445
